IDPIF,SUPQUEMADA,RADIO_M,MUERTOS,HERIDOS,IDCOMUNIDAD,COMUNIDAD,IDPROVINCIA,PROVINCIA,COMARCA,MUNICIPIO,LATITUD,LONGITUD,FECHA,TIME_CTRL,TIME_EXT,RES_GRP_CAUSA,IDGRUPOCAUSA,CAUSA,PERSONAL,PESADOS,AEREOS,GASTOS_EXT,PERDIDAS
2004210126,29867.0000,9750.36,0,1,4,ANDALUCIA,21,HUELVA,CUENCA MINERA,MINAS DE RIOTINTO,37.69176000,-6.59999000,2004-07-27,9625,11065,1,4,Provocados por pirómanos,963,55,17,0,4488390
2012460248,28879.1000,9587.75,0,0,9,C. VALENCIANA,46,VALENCIA,LA VALL D AYORA,CORTES DE PALLÁS,39.26911600,-0.95578700,2012-06-28,10320,24772,0,3,MOTORES Y MÁQUINAS (SIN ESPECIFICAR),1540,109,37,0,12607966
2012460247,20064.9000,7991.78,0,2,9,C. VALENCIANA,46,VALENCIA,ELS SERRANS,ANDILLA,39.75925100,-0.77668600,2012-06-29,9834,30474,0,2,OTRAS NEGLIGENCIAS (OTRAS),2809,124,115,0,30640114
2007350042,18672.9000,7709.58,0,1,12,CANARIAS,35,LAS PALMAS,GRAN CANARIA,TEJEDA,27.94616600,-15.66156600,2007-07-27,7011,42168,1,4,Otras motivaciones,601,66,11,0,0
2007380023,16820.6300,7317.22,0,0,12,CANARIAS,38,S.C. TENERIFE,TENERIFE,"REALEJOS, LOS",28.35834600,-16.60359300,2007-07-30,4353,24523,1,4,Sin datos,1100,71,14,184705,0
2005190182,12732.7300,6366.28,11,3,11,CASTILLA-MANCHA,19,GUADALAJARA,ALCARRIA ALTA,RIBA DE SAELICES,40.93993300,-2.29250000,2005-07-16,6886,24851,0,2,HOGUERAS,1045,81,29,551169,23142608
2012240531,11592.0000,6074.41,0,1,17,CASTILLA Y LEON,24,LEON,LA BAÑEZA,CASTROCONTRIGO,42.19313200,-6.22720800,2012-08-19,13224,26184,1,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,273,28,32,0,0
2005100838,9901.4700,5614.03,0,0,14,EXTREMADURA,10,CACERES,IBORES-VILLUERCAS,CAÑAMERO,39.38115400,-5.37991000,2005-07-21,1738,9073,1,4,Otras motivaciones,506,77,24,0,14066413
2003100794,9562.6600,5517.14,0,0,14,EXTREMADURA,10,CACERES,SIERRA DE SAN PEDRO,PORTUGAL,39.25377800,-7.24977400,2003-08-02,4320,14350,0,1,RAYO,830,23,14,0,4277026
2012170124,8729.8000,5271.41,0,0,2,CATALUÑA,17,GIRONA,ALT EMPORDA,"JONQUERA, LA",42.45831400,2.86589800,2012-07-22,6888,11217,0,2,FUMADORES,1695,99,28,0,0
2012290166,8037.1400,5057.96,0,0,4,ANDALUCIA,29,MALAGA,VALLE DE GUADALHORCE,COÍN,36.61017700,-4.73519100,2012-08-30,4300,6550,0,2,QUEMA AGRÍCOLA (QUEMA DE RESTOS DE PODA),1869,83,43,0,0
2006361456,7316.7700,4825.97,0,2,3,GALICIA,36,PONTEVEDRA,DEZA-TABEIROS,CERDEDO,42.54299400,-8.43642600,2006-08-04,1765,9040,1,4,Provocados por pirómanos,535,52,23,263160,15426315
2004230117,7136.6000,4766.18,0,0,4,ANDALUCIA,23,JAEN,SIERRA MORENA,ALDEAQUEMADA,38.43810000,-3.31853100,2004-08-26,1310,5480,1,4,Sin datos,632,45,26,173350,1704994
2009440084,6677.8900,4610.46,0,0,10,ARAGON,44,TERUEL,CUENCAS MINERAS,ALIAGA,40.71014000,-0.65960400,2009-07-22,9095,24830,0,1,RAYO,822,40,35,582917,28554150
2012380717,6512.0000,4552.83,0,1,12,CANARIAS,38,S.C. TENERIFE,TENERIFE,ADEJE,28.13963800,-16.69034800,2012-07-15,8815,152365,0,2,FUMADORES,824,38,14,0,0
2009500179,6459.1600,4534.32,0,0,10,ARAGON,50,ZARAGOZA,ZARAGOZA,ZARAGOZA,41.86552900,-0.99850900,2009-08-18,4465,7675,0,3,MANIOBRAS MILITARES,480,46,21,0,13391337
2003100718,6365.7000,4501.40,0,0,14,EXTREMADURA,10,CACERES,HURDES,OTRA PROVINCIA,40.45754100,-6.41557700,2003-08-13,0,14430,0,2,QUEMA AGRÍCOLA (SIN ESPECIFICAR),273,21,23,0,12477772
2003050106,6275.0000,4469.22,0,1,17,CASTILLA Y LEON,5,AVILA,EL BARCO DE AVILA,SOLANA DE ÁVILA,40.33267000,-5.64525800,2003-08-03,4425,20490,1,4,Vandalismo,347,18,15,0,753719
2007120090,5775.0200,4287.47,0,0,9,C. VALENCIANA,12,CASTELLON,L ALCALATEN,"USERES, LES/USERAS",40.15479000,-0.18883300,2007-08-28,5755,14695,0,3,MOTORES Y MÁQUINAS (SIN ESPECIFICAR),765,10,38,0,0
2012020224,5207.2800,4071.27,0,0,11,CASTILLA-MANCHA,2,ALBACETE,HELLIN,HELLÍN,38.44883400,-1.77295800,2012-07-01,2762,7442,1,4,Provocados por venganzas,489,48,39,0,0
2005490807,4650.0000,3847.26,0,0,17,CASTILLA Y LEON,49,ZAMORA,EL PUENTE,PORTO,42.21761600,-6.73633600,2005-10-01,14190,14970,1,4,Sin datos,33,4,9,41779,0
2005230249,4506.5000,3787.43,0,7,4,ANDALUCIA,23,JAEN,LAS VILLAS,VILLANUEVA DEL ARZOBISPO,38.14098500,-2.83285200,2005-08-07,5090,12290,0,1,RAYO,1455,28,42,0,0
2009040055,4444.2700,3761.19,0,0,4,ANDALUCIA,4,ALMERIA,LEVANTE ALMERIENSE,TURRE,37.07538600,-1.96103600,2009-07-14,2683,7033,0,1,RAYO,437,24,17,0,0
2004100257,4370.0000,3729.63,0,0,14,EXTREMADURA,10,CACERES,CACERES-CENTRO,CÁCERES,39.51632300,-6.31837200,2004-06-30,910,3550,0,2,OTRAS NEGLIGENCIAS (SIN ESPECIFICAR),253,23,9,0,0
2012500249,4281.0700,3691.48,0,0,10,ARAGON,50,ZARAGOZA,ARANDA,CALCENA,41.67932400,-1.67571700,2012-08-27,5982,14577,0,2,OTRAS NEGLIGENCIAS (SIN ESPECIFICAR),703,66,24,0,18384082
2009050152,4031.1800,3582.12,1,1,17,CASTILLA Y LEON,5,AVILA,ARENAS DE SAN PEDRO,ARENAS DE SAN PEDRO,40.23254700,-5.06782400,2009-07-28,8409,40659,1,4,Sin datos,832,85,44,0,0
